Accession	TDL	Gene Symbol01	Ratio 2h	Ratio 6h	Ratio 10h 	Ratio 24h	P value 2h	P value 6h	P value 10h	P value 24h	Ratio 2h	Ratio 6h	Ratio 10h 	Ratio 24h	Count	Selected	Quantity_Change	Source
P13073	Tbio	COX4I1	-0.217018235	-0.05351011	-0.468754889	-1.872462727	0.348012513	0.855683394	0.214116748	0.004310429	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q06481	Tbio	APLP2	-0.296606573	-0.169745587	-0.703047669	-2.360180365	0.331357795	0.61799855	0.111108639	0.010724011	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P19075	Tbio	TSPAN8	-0.154650995	-0.262345983	-0.246853122	-2.135717358	0.650523361	0.441081464	0.336081887	0.003546671	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P60903	Tbio	S100A10	-0.192588425	-0.249753443	-0.439323374	-1.852165955	0.02041545	0.216376823	0.306049675	0.001280395	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P47914	Tbio	RPL29	-0.027054946	-0.19642437	-0.43866346	-1.771046831	0.743732008	0.21947759	0.023613606	0.001072966	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9UHD8	Tbio	SEPTIN9	-0.437035044	-0.432697583	-1.036062214	-3.344327653	0.37695595	0.102088281	0.061376927	0.000803785	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P10619	Tchem	CTSA	-0.112984141	-0.238545384	-0.673739224	-2.209337769	0.790344013	0.487641566	0.098562319	0.003252966	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P21964	Tclin	COMT	-0.067182763	-0.184621938	-0.247492343	-1.679888301	0.734223804	0.462957393	0.329806983	0.032511891	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P84243	Tbio	H3F3A	-0.169137087	-0.131057704	-0.442594666	-2.445589503	0.170401835	0.194672082	0.014747494	0.00010009	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P84243	Tbio	H3F3AP4	-0.169137087	-0.131057704	-0.442594666	-2.445589503	0.170401835	0.194672082	0.014747494	0.00010009	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P84243	Tbio	H3F3B	-0.169137087	-0.131057704	-0.442594666	-2.445589503	0.170401835	0.194672082	0.014747494	0.00010009	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
