gene_symbol	uniprot	tdl	tdl_priority
TMEM177	Q53S58	Tdark	4
TMEM178A	Q8NBL3	Tdark	4
TMEM178B	H3BS89	Tdark	4
TMEM179	Q6ZVK1	Tdark	4
TMEM179B	Q7Z7N9	Tdark	4
TMEM18	Q96B42	Tbio	3
TMEM181	Q9P2C4	Tbio	3
TMEM182	Q6ZP80	Tdark	4
TMEM183A	Q8IXX5	Tdark	4
TMEM183B	Q1AE95	Tdark	4
TMEM184A	Q6ZMB5	Tbio	3
TMEM184B	Q9Y519	Tdark	4
TMEM184C	Q9NVA4	Tdark	4
TMEM185A	Q8NFB2	Tdark	4
TMEM185B	Q9H7F4	Tdark	4
TMEM186	Q96B77	Tdark	4
TMEM187	Q14656	Tdark	4
TMEM19	Q96HH6	Tdark	4
TMEM190	Q8WZ59	Tdark	4
TMEM191A	Q9H0A3	Tdark	4
TMEM191B	P0C7N4	Tdark	4
TMEM191C	A6NGB0	Tdark	4
TMEM192	Q8IY95	Tbio	3
TMEM196	Q5HYL7	Tdark	4
TMEM198	Q66K66	Tdark	4
TMEM199	Q8N511	Tbio	3
TMEM200A	Q86VY9	Tbio	3
TMEM200B	Q69YZ2	Tdark	4
TMEM200C	A6NKL6	Tdark	4
TMEM201	Q5SNT2	Tbio	3
TMEM202	A6NGA9	Tdark	4
TMEM203	Q969S6	Tdark	4
TMEM204	Q9BSN7	Tdark	4
TMEM205	Q6UW68	Tdark	4
TMEM207	Q6UWW9	Tdark	4
TMEM208	Q9BTX3	Tdark	4
TMEM209	Q96SK2	Tdark	4
TMEM210	A6NLX4	Tdark	4
TMEM211	Q6ICI0	Tdark	4
TMEM212	A6NML5	Tdark	4
TMEM213	A2RRL7	Tdark	4
TMEM214	Q6NUQ4	Tdark	4
TMEM215	Q68D42	Tdark	4
TMEM216	Q9P0N5	Tdark	4
TMEM217	Q8N7C4	Tdark	4
TMEM218	A2RU14	Tdark	4
TMEM219	Q86XT9	Tdark	4
TMEM220	Q6QAJ8	Tdark	4
TMEM221	A6NGB7	Tdark	4
TMEM222	Q9H0R3	Tdark	4
TMEM223	A0PJW6	Tdark	4
TMEM225	Q6GV28	Tdark	4
TMEM225B	P0DP42	Tdark	4
TMEM229A	B2RXF0	Tdark	4
TMEM229B	Q8NBD8	Tdark	4
TMEM230	Q96A57	Tbio	3
TMEM231	Q9H6L2	Tbio	3
TMEM232	C9JQI7	Tdark	4
TMEM233	B4DJY2	Tdark	4
TMEM234	Q8WY98	Tdark	4
TMEM235	A6NFC5	Tdark	4
TMEM236	Q5W0B7	Tdark	4
TMEM237	Q96Q45	Tdark	4
TMEM238	C9JI98	Tdark	4
TMEM238L	A6NJY4	Tdark	4
TMEM239	Q8WW34	Tdark	4
TMEM240	Q5SV17	Tdark	4
TMEM241	Q24JQ0	Tdark	4
TMEM242	Q9NWH2	Tdark	4
TMEM243	Q9BU79	Tdark	4
TMEM244	Q5VVB8	Tdark	4
TMEM245	Q9H330	Tdark	4
TMEM247	A6NEH6	Tdark	4
TMEM248	Q9NWD8	Tdark	4
TMEM249	Q2WGJ8	Tdark	4
TMEM25	Q86YD3	Tdark	4
TMEM250	H0YL14	Tdark	4
TMEM251	Q8N6I4	Tdark	4
TMEM252	Q8N6L7	Tdark	4
TMEM253	P0C7T8	Tdark	4
TMEM254	Q8TBM7	Tdark	4
TMEM255A	Q5JRV8	Tdark	4
TMEM255B	Q8WV15	Tdark	4
TMEM256	Q8N2U0	Tdark	4
TMEM258	P61165	Tdark	4
TMEM259	Q4ZIN3	Tbio	3
TMEM26	Q6ZUK4	Tdark	4
TMEM260	Q9NX78	Tdark	4
TMEM262	E9PQX1	Tdark	4
TMEM263	Q8WUH6	Tdark	4
TMEM265	A0A087WTH1	Tdark	4
TMEM266	Q2M3C6	Tdark	4
TMEM267	Q0VDI3	Tdark	4
TMEM268	Q5VZI3	Tdark	4
TMEM269	A0A1B0GVZ9	Tdark	4
TMEM270	Q6UE05	Tdark	4
TMEM271	A0A286YF58	Tdark	4
TMEM272	A0A1B0GTI8	Tdark	4
TMEM273	Q5T292	Tdark	4
TMEM30A	Q9NV96	Tbio	3
TMEM30B	Q3MIR4	Tbio	3
TMEM30CP	A0ZSE6	Tdark	4
TMEM31	Q5JXX7	Tdark	4
TMEM33	P57088	Tbio	3
TMEM35A	Q53FP2	Tdark	4
TMEM35B	Q8NCS4	Tdark	4
TMEM37	Q8WXS4	Tbio	3
TMEM38A	Q9H6F2	Tbio	3
TMEM38B	Q9NVV0	Tbio	3
TMEM39A	Q9NV64	Tbio	3
TMEM39B	Q9GZU3	Tdark	4
TMEM40	Q8WWA1	Tdark	4
TMEM41A	Q96HV5	Tdark	4
TMEM41B	Q5BJD5	Tbio	3
TMEM42	Q69YG0	Tdark	4
TMEM43	Q9BTV4	Tbio	3
TMEM44	Q2T9K0	Tdark	4
TMEM45A	Q9NWC5	Tbio	3
TMEM45B	Q96B21	Tbio	3
TMEM47	Q9BQJ4	Tdark	4
TMEM50A	O95807	Tdark	4
TMEM50B	P56557	Tdark	4
TMEM51	Q9NW97	Tdark	4
TMEM52	Q8NDY8	Tdark	4
TMEM52B	Q4KMG9	Tdark	4
TMEM53	Q6P2H8	Tdark	4
TMEM54	Q969K7	Tdark	4
TMEM59	Q9BXS4	Tbio	3
TMEM59L	Q9UK28	Tbio	3
TMEM60	Q9H2L4	Tdark	4
TMEM61	Q8N0U2	Tdark	4
TMEM62	Q0P6H9	Tdark	4
TMEM63A	O94886	Tdark	4
TMEM63B	Q5T3F8	Tdark	4
TMEM63C	Q9P1W3	Tdark	4
TMEM64	Q6YI46	Tdark	4
TMEM65	Q6PI78	Tdark	4
TMEM67	Q5HYA8	Tbio	3
TMEM68	Q96MH6	Tdark	4
TMEM69	Q5SWH9	Tdark	4
TMEM70	Q9BUB7	Tbio	3
TMEM71	Q6P5X7	Tdark	4
TMEM72	A0PK05	Tdark	4
TMEM74	Q96NL1	Tbio	3
TMEM74B	Q9NUR3	Tdark	4
TMEM75	Q8N9X5	Tdark	4
TMEM78	Q5T7P6	Tdark	4
TMEM79	Q9BSE2	Tbio	3
TMEM80	Q96HE8	Tdark	4
TMEM81	Q6P7N7	Tdark	4
TMEM82	A0PJX8	Tdark	4
TMEM86A	Q8N2M4	Tdark	4
TMEM86B	Q8N661	Tbio	3
TMEM87A	Q8NBN3	Tdark	4
TMEM87B	Q96K49	Tdark	4
TMEM88	Q6PEY1	Tbio	3
TMEM88B	A6NKF7	Tdark	4
TMEM89	A2RUT3	Tdark	4
TMEM8B	A6NDV4	Tbio	3
TMEM9	Q9P0T7	Tbio	3
TMEM91	Q6ZNR0	Tdark	4
TMEM92	Q6UXU6	Tdark	4
TMEM94	Q12767	Tdark	4
TMEM95	Q3KNT9	Tdark	4
TMEM97	Q5BJF2	Tchem	2
TMEM98	Q9Y2Y6	Tbio	3
TMEM99	Q8N816	Tdark	4
TMEM9B	Q9NQ34	Tdark	4
TMF1	P82094	Tbio	3
TMIE	Q8NEW7	Tbio	3
TMIGD1	Q6UXZ0	Tdark	4
TMIGD2	Q96BF3	Tbio	3
TMIGD3	P0DMS9	Tchem	2
TMLHE	Q9NVH6	Tbio	3
TMOD1	P28289	Tbio	3
TMOD2	Q9NZR1	Tbio	3
TMOD3	Q9NYL9	Tbio	3
TMOD4	Q9NZQ9	Tbio	3
TMPO	P42166	Tbio	3
TMPPE	Q6ZT21	Tdark	4
TMPRSS11A	Q6ZMR5	Tbio	3
TMPRSS11B	Q86T26	Tdark	4
TMPRSS11D	O60235	Tchem	2
TMPRSS11E	Q9UL52	Tbio	3
TMPRSS11F	Q6ZWK6	Tdark	4
TMPRSS12	Q86WS5	Tdark	4
TMPRSS13	Q9BYE2	Tbio	3
TMPRSS15	P98073	Tchem	2
TMPRSS2	O15393	Tchem	2
TMPRSS3	P57727	Tbio	3
TMPRSS4	Q9NRS4	Tbio	3
TMPRSS5	Q9H3S3	Tdark	4
TMPRSS6	Q8IU80	Tchem	2
TMPRSS7	Q7RTY8	Tdark	4
TMPRSS9	Q7Z410	Tbio	3
TMSB10	P63313	Tbio	3
TMSB15A	P0CG34	Tbio	3
TMSB15B	P0CG35	Tdark	4
TMSB4X	P62328	Tbio	3
TMSB4Y	O14604	Tdark	4
TMTC1	Q8IUR5	Tbio	3
TMTC2	Q8N394	Tbio	3
TMTC3	Q6ZXV5	Tdark	4
TMTC4	Q5T4D3	Tdark	4
TMUB1	Q9BVT8	Tbio	3
TMUB2	Q71RG4	Tdark	4
TMX1	Q9H3N1	Tbio	3
TMX2	Q9Y320	Tbio	3
TMX3	Q96JJ7	Tbio	3
TMX4	Q9H1E5	Tdark	4
TNC	P24821	Tbio	3
TNF	P01375	Tclin	1
TNFAIP1	Q13829	Tbio	3
TNFAIP2	Q03169	Tbio	3
TNFAIP3	P21580	Tbio	3
TNFAIP6	P98066	Tbio	3
TNFAIP8	O95379	Tbio	3
TNFAIP8L1	Q8WVP5	Tdark	4
TNFAIP8L2	Q6P589	Tbio	3
TNFAIP8L3	Q5GJ75	Tbio	3
TNFRSF10A	O00220	Tchem	2
TNFRSF10B	O14763	Tbio	3
TNFRSF10C	O14798	Tbio	3
TNFRSF10D	Q9UBN6	Tbio	3
TNFRSF11A	Q9Y6Q6	Tbio	3
TNFRSF11B	O00300	Tbio	3
TNFRSF12A	Q9NP84	Tbio	3
TNFRSF13B	O14836	Tbio	3
TNFRSF13C	Q96RJ3	Tbio	3
TNFRSF14	Q92956	Tbio	3
TNFRSF17	Q02223	Tbio	3
TNFRSF18	Q9Y5U5	Tbio	3
TNFRSF19	Q9NS68	Tbio	3
TNFRSF1A	P19438	Tchem	2
TNFRSF1B	P20333	Tbio	3
TNFRSF21	O75509	Tbio	3
TNFRSF25	Q93038	Tbio	3
TNFRSF4	P43489	Tchem	2
TNFRSF6B	O95407	Tbio	3
TNFRSF8	P28908	Tclin	1
TNFRSF9	Q07011	Tbio	3
TNFSF10	P50591	Tbio	3
TNFSF11	O14788	Tclin	1
TNFSF12	O43508	Tbio	3
TNFSF13	O75888	Tbio	3
TNFSF13B	Q9Y275	Tclin	1
TNFSF14	O43557	Tbio	3
TNFSF15	O95150	Tbio	3
TNFSF18	Q9UNG2	Tbio	3
TNFSF4	P23510	Tbio	3
TNFSF8	P32971	Tbio	3
TNFSF9	P41273	Tbio	3
TNIK	Q9UKE5	Tchem	2
TNIP1	Q15025	Tbio	3
TNIP2	Q8NFZ5	Tbio	3
TNIP3	Q96KP6	Tbio	3
TNK1	Q13470	Tchem	2
TNK2	Q07912	Tchem	2
TNKS	O95271	Tchem	2
TNKS1BP1	Q9C0C2	Tbio	3
TNKS2	Q9H2K2	Tchem	2
TNMD	Q9H2S6	Tbio	3
TNN	Q9UQP3	Tbio	3
TNNC1	P63316	Tclin	1
TNNC2	P02585	Tbio	3
TNNI1	P19237	Tbio	3
TNNI2	P48788	Tbio	3
TNNI3	P19429	Tbio	3
TNNI3K	Q59H18	Tchem	2
TNNT1	P13805	Tbio	3
TNNT2	P45379	Tbio	3
TNNT3	P45378	Tbio	3
TNP1	P09430	Tbio	3
TNP2	Q05952	Tbio	3
TNPO1	Q92973	Tbio	3
TNPO2	O14787	Tbio	3
TNPO3	Q9Y5L0	Tbio	3
TNR	Q92752	Tbio	3
TNRC18	O15417	Tdark	4
TNRC6A	Q8NDV7	Tbio	3
TNRC6B	Q9UPQ9	Tbio	3
TNRC6C	Q9HCJ0	Tbio	3
TNS1	Q9HBL0	Tbio	3
TNS2	Q63HR2	Tbio	3
TNS3	Q68CZ2	Tbio	3
TNS4	Q8IZW8	Tbio	3
TNXA	Q16473	Tdark	4
TNXB	P22105	Tbio	3
TOB1	P50616	Tbio	3
TOB2	Q14106	Tbio	3
TOE1	Q96GM8	Tbio	3
TOGARAM1	Q9Y4F4	Tdark	4
TOGARAM2	Q6ZUX3	Tdark	4
TOLLIP	Q9H0E2	Tbio	3
TOM1	O60784	Tbio	3
TOM1L1	O75674	Tbio	3
TOM1L2	Q6ZVM7	Tdark	4
TOMM20	Q15388	Tbio	3
TOMM20L	Q6UXN7	Tdark	4
TOMM22	Q9NS69	Tbio	3
TOMM34	Q15785	Tbio	3
TOMM40	O96008	Tbio	3
TOMM40L	Q969M1	Tdark	4
TOMM5	Q8N4H5	Tdark	4
TOMM6	Q96B49	Tdark	4
TOMM7	Q9P0U1	Tbio	3
TOMM70	O94826	Tbio	3
TONSL	Q96HA7	Tbio	3
TOP1	P11387	Tclin	1
TOP1MT	Q969P6	Tclin	1
TOP2A	P11388	Tclin	1
TOP2B	Q02880	Tchem	2
TOP3A	Q13472	Tbio	3
TOP3B	O95985	Tbio	3
TOP6BL	Q8N6T0	Tdark	4
TOPAZ1	Q8N9V7	Tdark	4
TOPBP1	Q92547	Tbio	3
TOPORS	Q9NS56	Tbio	3
TOR1A	O14656	Tbio	3
TOR1AIP1	Q5JTV8	Tbio	3
TOR1AIP2	Q8NFQ8	Tbio	3
TOR1B	O14657	Tbio	3
TOR2A	Q8N2E6	Tbio	3
TOR3A	Q9H497	Tbio	3
TOR4A	Q9NXH8	Tdark	4
TOX	O94900	Tbio	3
TOX2	Q96NM4	Tbio	3
TOX3	O15405	Tbio	3
TOX4	O94842	Tbio	3
TP53	P04637	Tchem	2
TP53AIP1	Q9HCN2	Tbio	3
TP53BP1	Q12888	Tbio	3
TP53BP2	Q13625	Tbio	3
TP53I11	O14683	Tbio	3
TP53I13	Q8NBR0	Tdark	4
