gene_symbol	uniprot
ATP6AP1	H7C2Y8
ATP6AP1	Q15904
ATP6V1A	C9JA17
ATP6V1A	C9JVW8
ATP6V1A	F8WDJ3
ATP6V1A	P38606
ATP6V1G1	A0A024R883
ATP6V1G1	A0A7I2V2N1
ATP6V1G1	A0A7I2V375
ATP6V1G1	A0A7I2V3Q6
ATP6V1G1	A0A7I2V4K4
ATP6V1G1	A0A7I2YQH3
ATP6V1G1	O75348
ATRX	A0A067XLH7
ATRX	A0A068A230
ATRX	A0A068A261
ATRX	A0A087WWG0
ATRX	A0A096LNL6
ATRX	A0A096LNL7
ATRX	A0A096LNL9
ATRX	A0A096LNN3
ATRX	A0A096LNR8
ATRX	A0A096LNW1
ATRX	A0A096LNX6
ATRX	A0A096LP59
ATRX	A0A096LPG6
ATRX	A0A6Q8PHA4
ATRX	A4LAA3
ATRX	H0Y3T0
ATRX	L8E6W5
ATRX	L8E8D0
ATRX	P46100
ATRX	Q5H9A3
ATRX	Q5JX93
ATRX	Q86U63
B2M	F5H6I0
B2M	H0YLF3
B2M	J3KNU0
B2M	K7N5M3
B2M	K7N5M4
B2M	P61769
B2M	Q16446
B3GAT2	A0A087WXU9
B3GAT2	Q29RV3
B3GAT2	Q9NPZ5
B4GALNT2	Q8NHY0
BACE1	A0A024R3D5
BACE1	A0A024R3D7
BACE1	A0A024R3E8
BACE1	A0A024R3F9
BACE1	A0A7P0T924
BACE1	A0A7P0TAB4
BACE1	B7Z3Z4
BACE1	E9PJG7
BACE1	P56817
BACE1	Q6YBQ9
BACE1	Q76KP0
BACE1	Q8IYC8
BACE1	U3KPS1
BAG5	A0A024R6M6
BAG5	A8CGI4
BAG5	Q9UL15
BAG6	A0A024RCR6
BAG6	A0A0G2JIA9
BAG6	A0A0G2JIB3
BAG6	A0A0G2JJ92
BAG6	A0A0G2JJM1
BAG6	A0A0G2JJR8
BAG6	A0A0G2JK23
BAG6	A0A0G2JL47
BAG6	A0A1B0GX79
BAG6	A0A7I2V3H1
BAG6	A0A7I2V508
BAG6	A0A7P0MQS5
BAG6	F6S6P2
BAG6	F6TC96
BAG6	F6U1F2
BAG6	F6U341
BAG6	F6UR09
BAG6	F6VEM6
BAG6	F6WML8
BAG6	F6X9W3
BAG6	F6XTU0
BAG6	H0Y4L1
BAG6	H0Y710
BAG6	H0Y759
BAG6	H0Y7K4
BAG6	P46379
BAG6	X6REW1
BCKDK	A0A024QZA9
BCKDK	H3BNP3
BCKDK	H3BQP2
BCKDK	H3BS02
BCKDK	H3BTL2
BCKDK	H3BUV3
BCKDK	O14874
BCS1L	A0A024R445
BCS1L	A0A0S2Z3G6
BCS1L	A0A2R8Y7T3
BCS1L	A8BSR7
BCS1L	C9J1S9
BCS1L	C9J4Q9
BCS1L	C9J8G3
BCS1L	C9JAS4
BCS1L	H7BZF6
BCS1L	H7C492
BCS1L	Q53RT4
BCS1L	Q9Y276
BPTF	A0A0A0MR81
BPTF	A0A2R8Y7Q1
BPTF	E7ETD6
BPTF	E9PE19
BPTF	F5GXF5
BPTF	F5H176
BPTF	J3KSK9
BPTF	J3KSY0
BPTF	J3QLW4
BPTF	J3QQK4
BPTF	J3QQQ8
BPTF	Q12830
BPTF	Q86TN2
BRD2	A0A024RCR5
BRD2	A0A0G2JHL0
BRD2	A0A0G2JHN8
BRD2	A0A0G2JK44
BRD2	A0A140T9E9
BRD2	A0A140T9F7
BRD2	A0A140T9I1
BRD2	A0A140T9V2
BRD2	A0A140T9X8
BRD2	E9PIQ3
BRD2	E9PKQ9
BRD2	H0Y6K2
BRD2	H0Y799
BRD2	H0YDJ7
BRD2	J3QR72
BRD2	P25440
BRD2	U3KPW0
BRD2	U3KQA6
BRD2	X5CF57
BRD4	A0A024R7H8
BRD4	M0QYW0
BRD4	M0QZD9
BRD4	M0R0H4
BRD4	O60885
BRD4	Q05BM2
BRD4	Q5BJ26
BRD4	Q6NXE4
BRD4	Q6PIS5
BRD4	W8JJB1
BTLA	L8EAT9
BTLA	Q400G7
BTLA	Q7Z6A9
BZW2	A0A024RA42
BZW2	B5MCE7
BZW2	B5MCH7
BZW2	C9JF98
BZW2	E7EMS9
BZW2	E7ETZ4
BZW2	E9PFD4
BZW2	E9PFE3
BZW2	F8WDX8
BZW2	Q75MG1
BZW2	Q9Y6E2
C1orf50	D3DPW6
C1orf50	Q9BV19
C20orf27	H7BYU9
C20orf27	Q9GZN8
CABIN1	A0A024R1E5
CABIN1	A0A087WWW8
CABIN1	B5MEB3
CABIN1	C9J068
CABIN1	C9JT60
CABIN1	Q05C66
CABIN1	Q9Y6J0
CACNA2D4	A7E243
CACNA2D4	B4DVU4
CACNA2D4	E7EUE0
CACNA2D4	K7EIY9
CACNA2D4	K7EJY1
CACNA2D4	K7ER25
CACNA2D4	K7ER98
CACNA2D4	Q7Z3S7
CACNA2D4	X6RLU5
CACNA2D4	X6RLY7
CAT	A0A3B3ITJ0
CAT	P04040
CBR1	A8MTM1
