gene	is_in_crispr	is_in_drugcentral	is_in_hats	is_in_jdti	is_in_natdt	is_in_phipster	is_in_preprint	is_in_string	is_in_taiml	node_type	target_type	tdl	tdl_priority	uniprot	metadata
FCGR1B	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q92637	metadata
FKBP10	False	True	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q96AY3	metadata
FKBP15	False	False	False	False	False	False	True	True	True	target	human	Tbio	3.0	Q5T1M5	metadata
FKBP7	False	False	False	False	False	False	True	False	False	target	human	Tbio	3.0	Q9Y680	metadata
FLT1	False	True	True	False	False	True	False	True	False	target	human	Tclin	1.0	P17948	metadata
FLT3	False	True	True	True	False	False	False	True	False	target	human	Tclin	1.0	P36888	metadata
FN1	False	False	False	False	False	False	False	True	False	target	human	Tchem	2.0	P02751	metadata
FN3KRP	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q9HA64	metadata
FOXRED2	False	False	False	False	False	False	True	True	False	target	human	Tdark	4.0	Q8IWF2	metadata
FYCO1	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9BQS8	metadata
FYN	False	True	True	False	False	False	False	False	False	target	human	Tclin	1.0	P06241	metadata
G3BP1	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q13283	metadata
G3BP2	False	False	False	False	False	False	True	True	True	target	human	Tbio	3.0	Q9UN86	metadata
GADD45A	False	False	True	False	False	False	False	False	False	target	human	Tbio	3.0	P24522	metadata
GALNT13	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q8IUC8	metadata
GALNT16	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q8N428	metadata
GALNT17	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q6IS24	metadata
GALNT18	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q6P9A2	metadata
GALNT5	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q7Z7M9	metadata
GALNT9	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q9HCQ5	metadata
GALNTL5	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q7Z4T8	metadata
GALNTL6	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q49A17	metadata
GAPDH	False	True	False	False	True	False	False	True	False	target	human	Tchem	2.0	P04406	metadata
GBGT1	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q8N5D6	metadata
GCC1	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q96CN9	metadata
GCC2	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q8IWJ2	metadata
GDF15	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q99988	metadata
GEMIN2	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	O14893	metadata;role_crispr:sensitization_anti-viral
GEMIN5	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q8TEQ6	metadata;role_crispr:sensitization_anti-viral
GEMIN6	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q8WXD5	metadata;role_crispr:sensitization_anti-viral
GEMIN7	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q9H840	metadata;role_crispr:sensitization_anti-viral
GEMIN8	True	False	False	False	False	False	False	True	False	target	human	Tdark	4.0	Q9NWZ8	metadata;role_crispr:sensitization_anti-viral
GFER	False	True	False	False	False	False	True	True	False	target	human	Tchem	2.0	P55789	metadata
GGCX	False	True	False	False	False	False	True	True	True	target	human	Tclin	1.0	P38435	metadata
GGH	False	False	False	False	False	False	True	True	False	target	human	Tchem	2.0	Q92820	metadata
